dataset_name	uuid	system	path
TCGA-A2-A0T6.ATAC-Seq.T.hg38	9bafb5f1-eb63-42ca-8ccc-990cf51151b4	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/atacseq/9bafb5f1-eb63-42ca-8ccc-990cf51151b4/539b824f-690b-488e-a505-3a2639bfbe1c_atacseq_gdc_realn.bam
TCGA-A2-A0T7-01A-21D-A099-09.wxs.T.hg38	69f5d9a8-b9ef-425c-957c-9c431a3ea695	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/69f5d9a8-b9ef-425c-957c-9c431a3ea695/TCGA-A2-A0T7-01A-21D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0T7-10A-01D-A099-09.wxs.N.hg38	ef15c270-2b24-491a-8bfa-396af2bf6ab5	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/ef15c270-2b24-491a-8bfa-396af2bf6ab5/TCGA-A2-A0T7-10A-01D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0YD-01A-11D-A10G-09.wxs.T.hg38	26631561-160c-429a-9051-13609c32ae88	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/26631561-160c-429a-9051-13609c32ae88/TCGA-A2-A0YD-01A-11D-A10G-09_IlluminaGA-DNASeq_exome_1_gdc_realn.bam
TCGA-A2-A0YD-10A-01D-A10G-09.wxs.N.hg38	6030c1cd-c29a-4029-83c4-2bfbc6be1de9	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/6030c1cd-c29a-4029-83c4-2bfbc6be1de9/TCGA-A2-A0YD-10A-01D-A10G-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0YG-01A-21D-A10G-09.wxs.T.hg38	db6769fd-a157-44e1-a43a-e91d6606ea83	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/db6769fd-a157-44e1-a43a-e91d6606ea83/TCGA-A2-A0YG-01A-21D-A10G-09_IlluminaGA-DNASeq_exome_HOLD_QC_PENDING_gdc_realn.bam
TCGA-A2-A0YG-10A-01D-A10G-09.wxs.N.hg38	b9c204c9-d8a1-442f-b735-a7f3a076f60d	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/b9c204c9-d8a1-442f-b735-a7f3a076f60d/TCGA-A2-A0YG-10A-01D-A10G-09_IlluminaGA-DNASeq_exome_1_gdc_realn.bam
TCGA-A2-A0YG.ATAC-Seq.T.hg38	5af5e405-7257-4897-9211-d4755fd92049	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/atacseq/5af5e405-7257-4897-9211-d4755fd92049/ff9cbc57-60f4-45c7-82f6-7670199ba28c_atacseq_gdc_realn.bam
TCGA-A2-A0YH-01A-11D-A10G-09.wxs.T.hg38	34c2b4e5-b57e-4bc8-92c4-575b1926708a	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/34c2b4e5-b57e-4bc8-92c4-575b1926708a/TCGA-A2-A0YH-01A-11D-A10G-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0YH-10A-01D-A10G-09.wxs.N.hg38	7f065019-62b5-47e1-96b7-87341f318ff0	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/7f065019-62b5-47e1-96b7-87341f318ff0/TCGA-A2-A0YH-10A-01D-A10G-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
